 1 ,        1 ,   0.00 ,    inf
 1 ,       10 ,  40.00 ,    inf
 1 ,      100 ,  55.00 ,  50.03
 1 ,     1000 ,  56.20 ,  24.39
 1 ,    10000 ,  56.02 ,  41.15
 1 ,   100000 ,  56.83 ,  41.93
 1 ,   500000 ,  56.93 ,  41.32
 1 ,  1000000 ,  57.01 ,  40.71
 2 ,        1 ,   0.00 ,   0.10
 2 ,       10 ,  40.00 ,   0.77
 2 ,      100 ,  55.00 ,   7.69
 2 ,     1000 ,  56.20 ,  33.33
 2 ,    10000 ,  56.02 ,  43.67
 2 ,   100000 ,  56.83 ,  74.63
 2 ,   500000 ,  56.93 ,  82.80
 2 ,  1000000 ,  57.01 ,  81.81
 4 ,        1 ,   0.00 ,   0.04
 4 ,       10 ,  40.00 ,   0.48
 4 ,      100 ,  55.00 ,   4.17
 4 ,     1000 ,  56.20 ,  20.83
 4 ,    10000 ,  56.02 ,  93.46
 4 ,   100000 ,  56.83 , 157.48
 4 ,   500000 ,  56.93 , 163.24
 4 ,  1000000 ,  57.01 , 161.68
 6 ,        1 ,   0.00 ,   0.04
 6 ,       10 ,  40.00 ,   0.24
 6 ,      100 ,  55.00 ,   3.57
 6 ,     1000 ,  56.20 ,  17.24
 6 ,    10000 ,  56.02 ,  80.65
 6 ,   100000 ,  56.83 , 183.49
 6 ,   500000 ,  56.93 , 240.15
 6 ,  1000000 ,  57.01 , 240.79
 8 ,        1 ,   0.00 ,   0.04
 8 ,       10 ,  40.00 ,   0.15
 8 ,      100 ,  55.00 ,   1.35
 8 ,     1000 ,  56.20 ,  13.51
 8 ,    10000 ,  56.02 ,  63.29
 8 ,   100000 ,  56.83 , 208.33
 8 ,   500000 ,  56.93 , 314.07
 8 ,  1000000 ,  57.01 , 312.70
